id;nome;codigo;preco;situacao;tipo;unidade;estoque;categoria
16672750444;"MEIA INFANTIL 3D ESQUILO";"3104000005916";24;A;P;"";5;""
16672749232;"MEIA INFANTIL 3D CACHORRO";"3104000005914";24;A;P;"";5;""
16672749231;"MEIA INFANTIL 3D CACHORRO CORAÇÃO";"3104000005915";24;A;P;"";5;""
16672746712;"MEIA INFANTIL 3D PERNA LONGA";"3104000005913";24;A;P;"";8;""
16672738349;"MEIA INFANTIL 3D CORRIDA";"3104000005909";24;A;P;"";10;""
16672738348;"MEIA INFANTIL 3D BALA";"3104000005907";24;A;P;"";5;""
16672738347;"MEIA INFANTIL 3D UNICORNIO";"3104000005912";24;A;P;"";3;""
16672738344;"MEIA INFANTIL 3D CEREIA";"3104000005908";24;A;P;"";2;""
16672738343;"MEIA INFANTIL 3D ROBÕ CIANO";"3104000005911";24;A;P;"";2;""
16672738342;"MEIA INFANTIL 3D ROBÔ AZUL ESCURO";"3104000005910";24;A;P;"";5;""
16672738341;"MEIA INFANTIL 3D BABY SHARK CIANO";"3104000005906";24;A;P;"";4;""
16672738340;"MEIA INFANTIL 3D BABY SHARK AZUL";"3104000005905";24;A;P;"";1;""
16672738339;"MEIA INFANTIL 3D COELHO";"3104000005897";24;A;P;"";5;""
16672729919;"MEIA INFANTIL 3D";"";24;A;P;"";;""
16672709737;"BRINCO DUPLA ARGOLA 8 PRATA";"3104000006015";12;A;P;"";0;""
16672709733;"BRINCO DUPLA ARGOLA 7 PRATA";"3104000006014";12;A;P;"";0;""
16672709730;"BRINCO DUPLA ARGOLA 6 PRATA";"3104000006013";12;A;P;"";0;""
16672709728;"BRINCO DUPLA ARGOLA 5 PRATA";"3104000006012";12;A;P;"";2;""
16672709725;"BRINCO DUPLA ARGOLA 4 PRATA";"3104000006011";12;A;P;"";2;""
16672709723;"BRINCO DUPLA ARGOLA 3 PRATA";"3104000006010";12;A;P;"";2;""
16672709721;"BRINCO ARGOLA 2 PRATA";"3104000006009";12;A;P;"";2;""
16672665472;"MEIA INFANTIL STITCH NEON MUSICAL 3D";"3104000005896";27;A;P;"";12;""
16672665471;"MEIA INFANTIL STITCH ANGEL 3D";"3104000005895";27;A;P;"";12;""
16672665470;"MEIA INFANTIL STITCH HAVAIANO AZUL 3D";"3104000005894";27;A;P;"";6;""
16672665468;"MEIA INFANTIL STITCH ABACAXI 3D";"3104000005893";27;A;P;"";6;""
16672663135;"BRINCO DUPLA ARGOLA 1 PRATA";"3104000006008";12;A;P;"";1;""
16672656139;"MEIA INFANTIL STITCH";"";27;A;P;"";;""
16672622159;"MEIA INFANTIL OVELHA";"3104000005892";24;A;P;"";5;""
16672622156;"MEIA INFANTIL GATINHO";"3104000005891";24;A;P;"";5;""
16672622154;"MEIA INFANTIL RAPOSA";"3104000005890";24;A;P;"";5;""
16672622151;"MEIA INFANTIL COELHO";"3104000005889";24;A;P;"";5;""
16672622149;"MEIA INFANTIL ESQUILO";"3104000005888";24;A;P;"";5;""
16672622147;"MEIA INFANTIL PONEI";"3104000005887";24;A;P;"";5;""
16672622144;"MEIA INFANTIL CERVO E PANDA";"3104000005886";24;A;P;"";5;""
16672622142;"MEIA INFANTIL UNICORNIO";"3104000005885";24;A;P;"";5;""
16672620558;"MEIA INFANTIL PANDA MASCULINO";"3104000005884";24;A;P;"";5;""
16672620556;"MEIA INFANTIL PANDA FEMININO";"3104000005883";24;A;P;"";5;""
16672620173;"MEIA INFANTIL URSINHO";"3104000005882";24;A;P;"";5;""
16672609011;"BRINCO DUPLA ARGOLA 8 DOURADA";"3104000006007";12;A;P;"";0;""
16672609005;"BRINCO DUPLA ARGOLA 7 DOURADA";"3104000006006";12;A;P;"";0;""
16672608999;"BRINCO DUPLA ARGOLA 6 DOURADA";"3104000006005";12;A;P;"";0;""
16672608997;"BRINCO DUPLA ARGOLA 5 DOURADA";"3104000006004";12;A;P;"";10;""
