nome,sku,blingId,arquivo_imagem,fonte,status_imagem
"MEIA INFANTIL STITCH ANGEL 3D","3104000005895","16672665471","","SEM_IMAGEM","OCULTO"
"MEIA INFANTIL URSINHO","3104000005882","16672620173","","SEM_IMAGEM","OCULTO"
"URSINHO DECORATIVO","3104000005748","16671385333","","SEM_IMAGEM","OCULTO"
"PLUG SILICONE C/ TEXTURA LILÁS","3104000005028","16669057244","","SEM_IMAGEM","OCULTO"
"PLUG SILICONE C/ TEXTURA","","16669056962","","SEM_IMAGEM","OCULTO"
"PLUG SILICONE SEXY COBRINHA VERMELHO","3104000005027","16669055624","","SEM_IMAGEM","OCULTO"
"PLUG SILICONE SEXY ANCORA ROSA","3104000005026","16669055623","","SEM_IMAGEM","OCULTO"
"PLUG SILICONE SEXY","","16669053885","","SEM_IMAGEM","OCULTO"
"PLUG GG CORAÇÃO AZUL","3104000005024","16669049463","","SEM_IMAGEM","OCULTO"
"PLUG GG CORAÇÃO ROSA","3104000005022","16669049455","","SEM_IMAGEM","OCULTO"
"PLUG GG CORAÇÃO ROXO","3104000005021","16669049451","","SEM_IMAGEM","OCULTO"
"PLUG GG","","16669047126","","SEM_IMAGEM","OCULTO"
"PLUG G CORACAO FRUTA COR","3104000005020","16669038307","","SEM_IMAGEM","OCULTO"
"PLUG G CORACAO PRETO","3104000005019","16669038302","","SEM_IMAGEM","OCULTO"
"PLUG G CORACAO ROXO","3104000005018","16669038297","","SEM_IMAGEM","OCULTO"
"PLUG G CORACAO ROSA","3104000005017","16669038292","","SEM_IMAGEM","OCULTO"
"PLUG G REDONDO FRUTA COR","3104000005016","16669038288","","SEM_IMAGEM","OCULTO"
"PLUG G REDONDO LILAS","3104000005015","16669038285","","SEM_IMAGEM","OCULTO"
"PLUG G REDONDO PINK","3104000005014","16669038280","","SEM_IMAGEM","OCULTO"
"PLUG G REDONDO ROSA","3104000005013","16669038277","","SEM_IMAGEM","OCULTO"
"PLUG G REDONDO CRISTAL","3104000005012","16669038271","","SEM_IMAGEM","OCULTO"
"PLUG G REDONDO VERMELHO","3104000005011","16669038266","","SEM_IMAGEM","OCULTO"
"PLUG G","","16669034321","","SEM_IMAGEM","OCULTO"
"PLUG M CORACAO AZUL CLARO","3104000005010","16669030338","","SEM_IMAGEM","OCULTO"
"PLUG M CORACAO AZUL ESCURO","3104000005009","16669030337","","SEM_IMAGEM","OCULTO"
"PLUG M CORACAO ROXO","3104000005008","16669030335","","SEM_IMAGEM","OCULTO"
"PLUG M CORACAO ROSA","3104000005007","16669030334","","SEM_IMAGEM","OCULTO"
"PLUG M CORACAO CRISTAL","3104000005006","16669030333","","SEM_IMAGEM","OCULTO"
"PLUG M","","16669028718","","SEM_IMAGEM","OCULTO"
"PLUG P REDONDO LILAS","3104000005005","16668889146","","SEM_IMAGEM","OCULTO"
"PLUG P REDONDO ROXO","3104000005004","16668889141","","SEM_IMAGEM","OCULTO"
"PLUG P REDONDO FRUTA COR","3104000005003","16668889138","","SEM_IMAGEM","OCULTO"
"PLUG P REDONDO ROSA","3104000005002","16668889136","","SEM_IMAGEM","OCULTO"
"PLUG P REDONDO PINK","3104000005001","16668889134","","SEM_IMAGEM","OCULTO"
"PLUG P REDONDO CRISTAL","3104000005000","16668889129","","SEM_IMAGEM","OCULTO"
"PLUG P","","16668885448","","SEM_IMAGEM","OCULTO"
"BARALHO KAMASUTRA","3104000004952","16668697574","","SEM_IMAGEM","OCULTO"
"ROLETA KAMASUTRA","3104000004948","16668684001","","SEM_IMAGEM","OCULTO"
"VIBRADOR PREMIUM 17 - ROXO","3104000004923","16668048737","","SEM_IMAGEM","OCULTO"
"VIBRADOR PREMIUM 16 - ROSA","3104000004922","16668048736","","SEM_IMAGEM","OCULTO"
"VIBRADOR PREMIUM 15 - ROSA","3104000004921","16668048734","","SEM_IMAGEM","OCULTO"
"VIBRADOR PREMIUM 14 - ROXO","3104000004920","16668048732","","SEM_IMAGEM","OCULTO"
"VIBRADOR PREMIUM 13 - ROXO","3104000004919","16668048731","","SEM_IMAGEM","OCULTO"
"VIBRADOR PREMIUM 12 - ROSA","3104000004918","16668048729","","SEM_IMAGEM","OCULTO"
"VIBRADOR PREMIUM 11 - ROXO","3104000004917","16668048728","","SEM_IMAGEM","OCULTO"
"VIBRADOR PREMIUM 10- ROSA","3104000004916","16668048726","","SEM_IMAGEM","OCULTO"
"VIBRADOR PREMIUM 9 - ROXO","3104000004931","16668048725","","SEM_IMAGEM","OCULTO"
"VIBRADOR PREMIUM 8- ROSA","3104000004930","16668048722","","SEM_IMAGEM","OCULTO"
"VIBRADOR PREMIUM 7 - ROXO","3104000004929","16668048719","","SEM_IMAGEM","OCULTO"
"VIBRADOR PREMIUM 6 - VERMELHO","3104000004928","16668048718","","SEM_IMAGEM","OCULTO"
